ATM,Address,lat,lon
Dokki,131 Tahrir St.Dokki,30.038902,31.215511
Dishna,El Mahata Street - Dishna,26.1229796,32.4622232
Desouk,"Saad Zaghlol st, Desouk",31.1348575,30.6394261
Dekernis,Orouba St.,31.0859939,31.5926671
Dayroot,"Al Galaa st, Abu Gabal Zone",27.554623,30.8180881
Dar El-Salam,Abd El Hamied Radwan square - Sohag,26.2750994,32.0558095
Damietta Port,investment Building - Damietta Port,31.443857,31.766753
Damietta,"El Galaa St., Badary Building",31.4171571,31.8133458
Damanhour,Gomhouria St,31.0430298,30.4677165
Cizostrese,"19 Salah Salem St., Atareen",31.196109,29.897623
City Stars,"2 El Raed Aly Rashed, Makram Eibad Steet Extention",30.072009,31.344437
City Club,City Club - Abour City,30.175855,31.474768
Cairo,first floor - 49 Kasr El Nil street,30.049213,31.245922
