name, lng, lat
Aly Pasha Mubarak Primary School, 31.716318, 31.144339
Aly Sengab Primary School, 31.272122, 30.736303
Aly Soliman Schools Complex, 32.2628223, 31.249023
Amer Village Primary School, 32.559775, 30.038328
Amin El Khouly Secondary School For Boys, 30.983537, 30.294308
Amin El Nasharty Secondary School For Girls, 31.284674, 30.055889
Amin El Rafeay Preparatory Training School, 29.914634, 31.186071
Amin Fekry Primary School, 31.2910767, 30.0844819
Amin Samy Preparatory School For Girls, 31.2365556, 30.0337038
Amina Salama Primary School, 31.32281, 30.803469
Amir El Geyoush Preparatory School For Girls, 31.259204, 30.054673
Amir El Geyoush Secondary School For Girls, 31.258865, 30.054995
Amir El Lewaa Preparatory School For Boys, 31.231287, 30.060982
Amir El Moameneen Primary School, 31.28844, 30.642777
Amir El Shoaraa Preparatory School For Boys, 29.786064, 31.105246
Amir El Shoaraa Primary School, 29.7865265, 31.1054914
Amir El Shoaraa Secondary School For Boys, 31.354171, 30.058796
Ammar Ibn Yasser Preparatory School, 32.632047, 25.664075
Ammar Ibn Yasser Primary School, 31.287332, 30.604187
Ammar Ibn Yasser Primary School, 32.631899, 25.663939
Ammar Ibn Yasser Primary School, 31.192021, 29.939921
Ammar Ibn Yasser Primary School, 32.585202, 25.294575
Ammar Ibn Yasser Primary School, 29.819342, 31.1352134
Ammar Ibn Yasser School, 31.23397, 29.984216
Amoud El Sawary Primary School, 29.8978865, 31.1774197
Amoun Primary School, 29.9612242, 31.214031
Amr Abdel Aziz Shaeer Preparatory Mixed School, 29.986342, 31.254856
Amr Ibn El Aas Preparatory Mixed School, 33.9380577, 26.7582398
Amr Ibn El Aas Preparatory School, 30.814285, 27.586635
Amr Ibn El Aas Preparatory School For Boys, 31.227956, 30.011039
Amr Ibn El Aas Preparatory School For Boys, 31.328973, 30.155418
Amr Ibn El Aas Preparatory School For Girls, 31.2273113, 30.0090832
Amr Ibn El Aas Primary Mixed School, 31.55783, 30.419315
Amr Ibn El Aas Primary School, 31.2571388, 30.0716844
Amr Ibn El Aas Primary School, 31.2280771, 30.0107834
Amr Ibn El Aas Primary School, 32.682341, 25.753044
Amr Ibn El Aas Primary School, 29.9125367, 31.191401
Amr Ibn El Aas Primary School, 31.260886, 30.774909
Amr Ibn El Aas Primary School, 31.209304, 30.009369
Amr Ibn El Aas Primary School, 31.818981, 31.421952
Amr Ibn El Aas Primary School, 31.410537, 31.091578
Amr Ibn El Aas Primary School, 32.5411337, 29.9886674
Amr Ibn El Aas School, 31.209578, 30.009383
Amr Mousa Secondary School For Boys, 31.121841, 30.193295
Anas Ibn Malek Mixed School, 31.156642, 30.118171
Anas Ibn Malek Primary School, 31.302238, 29.904967
Anas Ibn Malek School, 31.1926116, 30.4752093
Ansaf Serry Preparatory School For Girls, 31.237183, 30.089922
Anshas El Basal Primary School, 31.569573, 30.506173
Antar Ibn Shaddad Primary School, 31.2351824, 29.9922114
Arab El Maamal Primary School, 32.5038228, 29.9610393
Arab El Tal Primary School, 31.27122, 29.926364
Arad Abou Meliha Primary School, 31.656368, 30.720699
Ard El Awayed Secondary School, 29.9982709, 31.2123047
Ard El Gamarek Primary School, 29.722777, 31.010185
Ard Koleyet El Zeraah Preparatory School, 29.9936601, 31.2154658
Ard Koleyet El Zeraah Primary School, 29.9936601, 31.2154658
Arment Agriculture Secondary School, 32.439966, 25.572892
Arment El Hait Preparatory School For Boys, 32.497022, 25.663195
Arment El Hait Preparatory School For Girls, 32.497231, 25.662616
Arment Modern Preparatory School, 32.49993, 25.603046
Arment Primary Mixed School, 32.51495, 25.60852
Arment Primary School For Boys, 32.508849, 25.604962
Arment Primary School For Girls, 32.509435, 25.604553
Arment Secondary School For Boys, 32.499868, 25.603525
Arment Secondary School For Girls, 32.496577, 25.602775
Asas El Max Primary School, 29.8366195, 31.14587
Asfoun Preparatory Mixed School, 32.540908, 25.389924
Asfoun Primary School, 32.540329, 25.389716
Ashmoun El Romman Preparatory School, 31.636001, 31.085493
Ashmoun New Primary School, 30.976479, 30.292457
Ashmoun Secondary School For Girls, 30.976949, 30.302747
Ashraf Gawish Secondary Mixed School, 31.307054, 31.100568
Ashtoum El Gamil Primary School, 32.3027364, 31.2691767
Asmaa Bent Abi Bakr Preparatory School For Girls, 31.1972317, 27.1793061
Asmaa Bent Abi Bakr Preparatory School For Girls, 29.7990498, 31.017873
Asmaa Bent Abi Bakr Primary School, 31.340722, 29.845534
Asmaa Bent Abi Bakr Secondary School For Girls, 32.543258, 29.9847134
Asmaa Bent Aby Bakr Primary School, 31.414139, 30.16446
Asmaa Bint Abi Bakr Preparatory School For Girls, 31.296618, 30.115709
Asmaa Bint Abi Bakr Preparatory School For Girls, 31.566545, 30.409151
Asmaa Preparatory School For Girls, 31.255931, 30.130063
Asmaa Secondary School For Girls, 31.278414, 29.939607
Astanha Secondary Mixed School, 31.117577, 30.468118
Aswan Secondary School For Girls, 32.881114, 24.062169
Asyout Secondary School For Girls, 31.195988, 27.182835
Atef El Sadat Primary School, 30.084692, 31.280151
Atef El Sadat Primary School, 32.2844195, 31.2369399
Atef El Sharqawy Primary Mixed School, 31.3792464, 31.052201
Atef Mekhaimar Primary School, 31.543022, 31.081645
Atef Sharaf El Din Primary School, 31.747098, 31.382995
Atfih Primary Mixed School, 31.246447, 29.407086
Atlas Primary School, 31.3475427, 29.8365165
Atmida Preparatory School For Girls, 31.342642, 30.760189
Atmida School, 31.342661, 30.760168
Attallah School, 31.723669, 31.232415
Atteya Atteya Sayed Ahmed School, 31.415947, 30.820226
Auseem Primary School, 31.134905, 30.130258
Auseem School For Primary Education, 31.134663, 30.130174
Auseem Secondary Mixed School, 31.129224, 30.131024
Awad El Sayyad Preparatory School For Boys, 31.825215, 31.422378
Awad El Sayyad Primary School, 31.825215, 31.422378
Awad Khalil Primary School, 31.764506, 31.354759
Awad Shalaby Ashour Secondary School, 31.565105, 31.415955
Azab Ramzy Primary School, 31.56857, 30.858515
Aziz Abaza Preparatory School For Girls, 31.34584, 30.515364
Aziz Abaza Primary Mixed School, 30.0041315, 31.2730788
Aziz Ezzat Primary School, 31.2148753, 30.0719768
Bab El Fotouh Primary School, 29.9079019, 31.1855671
Bab El Haras Primary School For Boys, 31.8187, 31.419105
Bab El Karaseta Primary School, 29.8841846, 31.1945236
Bab El Shaareya Preparatory School For Boys, 31.258708, 30.055144
Bab El Shaareya Preparatory School For Girls, 31.259453, 30.061105
Bab El Shaareya Secandry School For Boys, 31.262, 30.0587
Badawy Badawy Mohamed Primary School, 31.4000925, 31.0577294
Badr Preparatory School For Boys, 30.8173716, 27.5549989
Badr Preparatory School For Boys, 31.205352, 30.037616
Badr Primary School, 32.2828692, 31.240646
Badr Primary School, 33.630792, 28.245619
Baghdad Primary School, 29.7976149, 30.879037
Baghdad Secondary School, 29.8009783, 30.8779436
Bahaa El Din Primary School, 31.25989, 30.716414
Bahaa El Din Raslan School, 31.534806, 30.565226
