bureau,lat,lon
Health Bureau - Madinet El Omal,30.080258,31.218252
Health Bureau - Maghagha 1,28.647288,30.842649
Health Bureau - Maghagha 2,28.655357,30.831969
Health Bureau - Maghagha 3,30.052995,31.334808
Health Bureau - Mallawy 1,27.7771105,30.7987217
Health Bureau - Mallawy 2,27.729531,30.831739
Health Bureau - Mallawy 3,27.7788099,30.7809676
Health Bureau - Mallawy 4,27.729531,30.831739
Health Bureau - Manial,30.0221581,31.2271554
Health Bureau - Markaz Banisuef,29.071028,31.102789
Health Bureau - Markaz Damanhour,31.049285,30.465034
Health Bureau - Marsa Alam,25.0652667,33.8997595
Health Bureau - Marsa Matrouh 1,31.3262657,27.2680718
Health Bureau - Marsa Matrouh 2,31.3262657,27.2680718
Health Bureau - Mashtoul El Souk,30.3591656,31.3818991
Health Bureau - Matay 1,28.4217781,30.7902843
Health Bureau - Matay 2,28.4217781,30.7902843
Health Bureau - Meet Ghamr,30.715914,31.255443
Health Bureau - Meet Salsil,31.1672733,31.8012018
Health Bureau - Menia El Qamh,30.5188275,31.3460524
Health Bureau - Meniet El Nasr,31.125451,31.644908
Health Bureau - Meniet El Sirg,30.0865389,31.253721
Health Bureau - Metoubas,31.3959153,30.5509358
Health Bureau - Mina El Basal,31.1644252,29.8688475
Health Bureau - Misr El Qadima 1,30.018888,31.230541
Health Bureau - Misr El Qadima 2,30.0187561,31.2311355
Health Bureau - Moharram Bey,31.197697,29.916383
Health Bureau - Monouf,30.4646318,30.9276992
Health Bureau - Nabarouh,,
Health Bureau - Nagaa Hamady,26.056023,32.241188
Health Bureau - Naqada,25.901952,32.727433
Health Bureau - Nasr City 1,30.067693,31.323674
Health Bureau - Nasr City 2,30.052995,31.334808
Health Bureau - Nasr El Nouba,24.543114,33.033051
Health Bureau - Nasser,29.1444778,31.1325717
Health Bureau - New Maadi,29.9675207,31.2584768
Health Bureau - Nuweibaa,29.0335227,34.6597302
Health Bureau - Port Fouad,31.251803,32.316636
Health Bureau - Port Said,31.259615,32.296199
Health Bureau - Qaha,30.2816,31.2035
Health Bureau - Qalioub El Balad,30.175945,31.209233
Health Bureau - Qalioub El Mahatta,30.177962,31.221631
Health Bureau - Qasr El Nil,30.034394,31.237909
Health Bureau - Qeft,26.0007014,32.8127436
Health Bureau - Qellin,31.0466258,30.8545295
Health Bureau - Qena,26.156304,32.709678
Health Bureau - Qotour,30.9677661,30.9549022
Health Bureau - Qous,25.9119375,32.7632609
Health Bureau - Raas Ghareb,28.3606649,33.0765842
Health Bureau - Raas Sedr,29.589282,32.7115741
Health Bureau - Rashid 1,31.404203,30.423089
Health Bureau - Rashid 2,31.404203,30.423089
Health Bureau - Road El Farag 1,30.0629332,31.2464422
Health Bureau - Road El Farag 2,30.0629332,31.2464422
Health Bureau - Road El Farag El Balad,30.0629332,31.2464422
Health Bureau - Safaga,26.763298,33.941645
Health Bureau - Sahel Selim,27.063626,31.345397
Health Bureau - Saint Catherine,28.5598284,33.9458844
Health Bureau - Samalout 1,28.3110872,30.7136536
Health Bureau - Samalout 2,28.3110872,30.7136536
Health Bureau - Samalout 3,28.3110872,30.7136536
Health Bureau - Samannoud,30.1270587,31.3481125
Health Bureau - Sandoub,31.0176811,31.3880172
Health Bureau - Sarabioum,30.4756081,32.3178479
Health Bureau - Saray El Qobba,30.0988464,31.3064539
Health Bureau - Sedfa,26.964516,31.377897
Health Bureau - Semouha,31.2071389,29.9383044
Health Bureau - Sharm El Sheikh,27.8639058,34.2917526
Health Bureau - Shebin El Koum,30.5529345,31.0042943
Health Bureau - Shebin El Qanater 1,30.318651,31.309024
Health Bureau - Shebin El Qanater 2,30.318651,31.309024
Health Bureau - Sherbin,31.1880065,31.5288567
Health Bureau - Sherif,30.0961895,31.2457998
Health Bureau - Shoubra El Khaima 1,30.1087,31.2501
Health Bureau - Shoubra El Khaima 2,30.1087,31.2501
Health Bureau - Shoubra El Khaima 3,30.118044,31.263165
Health Bureau - Shoubra El Khaima 4,30.120793,31.258866
Health Bureau - Shoubra Sendy,30.8720755,31.5408146
Health Bureau - Shoubrakhit,31.0316784,30.7176206
Health Bureau - Sidi Barrany,31.6058924,25.9344131
Health Bureau - Sidi Beshr,31.2612692,29.991859
Health Bureau - Sidi Gaber,31.225183,29.946734
Health Bureau - Sidi Salem,31.268115,30.786137
Health Bureau - Sinnouras,29.408465,30.859456
Health Bureau - Siwa,,
Health Bureau - Sohag 1,26.5458442,31.7014039
Health Bureau - Sohag 2,26.5592227,31.695159
Health Bureau - Sohag 3,26.5592227,31.695159
Health Bureau - Sohag 4,26.5592227,31.695159
Health Bureau - Somosta,,
Health Bureau - Soqolta,26.6588765,31.6666746
Health Bureau - South Ismaileya,30.5916318,32.2692454
Health Bureau - Suez,29.9631005,32.5587505
Health Bureau - Taba,29.493174,34.897201
Health Bureau - Tahta,26.8461317,31.4753267
Health Bureau - Tala,30.6843197,30.9504122
Health Bureau - Talkha 1,31.050702,31.381091
Health Bureau - Talkha 2,31.0500295,31.3726884
Health Bureau - Tama 1,29.4779861,30.961645
Health Bureau - Tameya,29.4779861,30.961645
Health Bureau - Tanta 1,30.8011814,30.999517
Health Bureau - Tanta 2,30.780746,31.0021466
Health Bureau - Tanta 3,30.8011814,30.999517
Health Bureau - Tanta 4,30.780746,31.0021466
Health Bureau - Tanta 5,30.7947233,31.0164857
Health Bureau - Tanta 6,30.7782641,30.9841651
Health Bureau - Tema 2,26.905991,31.432133
Health Bureau - Toril,31.0572874,31.4012154
Health Bureau - Toukh,30.3536522,31.2016985
Health Bureau - Wadi El Natroun,,
Health Bureau - West El Basateen,29.985429,31.268083
Health Bureau - Zeinhom,30.036901,31.254856
