office,lat,lon
Post Office - Misr El Qadima,30.0047276,31.2265674
Post Office - El Omraneya El Sharqeya,30.007052,31.205642
Post Office - Giza Recruitment,30.01023,31.217583
Post Office - El Rabea El Gizy,30.010652,31.208699
Post Office - Manshaet El Bakkary,30.0110756,31.1885732
Post Office - Giza 2,30.01238,31.212253
Post Office - Haram Distribution,30.0145203,31.1796739
Post Office - Abou El Saud,30.0161636,31.2332377
Post Office - El Moqattam,30.0162586,31.2811586
Post Office - El Tounsy,30.0164667,31.2568332
Post Office - Abou Khalifa,30.0164728,31.2568878
Post Office - Giza 1,30.016883,31.213462
Post Office - El Maleka,30.0173737,31.1956592
Post Office - El Malek El Saleh,30.0174038,31.227762
Post Office - Qaitbay,30.017639,31.2511245
Post Office - Public Bldgs.,30.0177685,31.2443198
Post Office - Agricultural Research Center,30.0207225,31.2114284
National Cancer Institute Post Office,30.023759,31.2307373
Post Office - El Gharq,30.024765,31.223557
Post Office - El Sayeda Aaesha,30.026216,31.2562782
Post Office - El Emam El Shafaey,30.026972,31.2518898
Post Office - El Outor,30.0274477,31.1736046
Post Office - Kerdasa,30.0287189,31.1493379
Post Office - Amer Village,30.0290122,32.5594053
Post Office - Zeineen,30.0293915,31.183591
Post Office - El Helmeya El Gadida,30.0298188,31.2402134
Post Office - El Dewaiqa,30.030549,31.216809
Post Office - El Qalaa,30.030675,31.256128
Post Office - El Kasr El Ainy,30.0314064,31.2327644
Post Office - Ras El Hekma,30.032101,31.258832
Post Office - Arab Rashed,30.0339346,31.2372289
Post Office - Kafr El Elw,30.0340567,31.2373074
Post Office - El Sayeda Zeinab,30.0346,31.2466
Post Office - Zein El Abedeen,30.036502,31.253998
Post Office - Environment Service,30.0366295,31.2783983
Post Office - Ministry Of Education,30.036877,31.237284
Post Office - El Dawaween,30.037214,31.239637
Post Office - Boulaq,30.0378142,31.1895656
Post Office - Bain El Sarayat,30.0387939,31.2090248
Post Office - City Council,30.0389,31.2339
Post Office - Bani Magdoul,30.039496,31.111055
Post Office - Council Of Ministers,30.0397772,31.2376421
First district-Zayed,30.03996,31.007948
Post Office - Abdin,30.040519,31.248821
Post Office - El Wezarat,30.042018,31.237066
Post Office - Garden City,30.0429858,31.2350683
Post Office - Industrial Zone,30.0434205,31.0975355
Post Office - Bab El Khalq,30.043979,31.251061
Post Office - Dokki,30.044101,31.209555
Post Office - El Zaytoun El Sharqeya,30.0445223,31.2944148
Post Office - El Tarfaya,30.0445639,31.1789434
Post Office- Bab El Louk,30.044641,31.2413671
Swiss project,30.0450692,31.3594121
Post Office - El Gablayat,30.0450926,31.2845149
Post Office - Children Village,30.0457682,31.351275
Post Office - Ideal Bldgs.,30.0459999,31.2582328
Post Office - Ezbet Belal,30.0460434,31.2585376
Tenth district,30.046156,31.3788437
Post Office - Al Azhar University,30.0463886,31.2609798
Youth district-Zayed,30.046739,30.981407
Post Office - El Ghoureya,30.046933,31.258255
Post Office - El Darrasa,30.0477903,31.2681525
Post Office - Egyptian Museum,30.0478468,31.2336493
Post Office - Cairo Station,30.0484558,31.2717177
Post Office - Mohamed Farid,30.0485,31.2441
Post Office - Ard El Gamaeya,30.049551,31.1944906
Cairo main office,30.049783,31.249088
Post Office - Berak El Khayyam,30.050782,31.159433
Post Office - El Kharanfash,30.0509148,31.2613177
