adm1,name,address,phone,specialized,lat,lng,types
New Valley,بلاط,بلاط,-,FALSE,NA,NA,General
Beni Suef,الفشن المركزى,الفشن,7660346,FALSE,28.8320544,30.9004724,General
Beni Suef,الواسطى المركزى,ش. سعد زغلول,2510310,FALSE,29.3507958,31.2030548,General
Beni Suef,اهناسيا المركزى,اهناسيا,5720430,FALSE,29.0883939999999,30.9435749,General
Beni Suef,ببا المركزى,ش. المستشفى,4400333,FALSE,28.92645,30.972844,General
Beni Suef,بنى سويف العام,كورنيش النيل,323243,FALSE,29.0640531,31.1028314,General
Beni Suef,سمسطا المركزى,سمسطا,7600309,FALSE,28.9131464,30.8523881,General
Beni Suef,ناصر المركزى,ناصر,5821401,FALSE,29.1449997,31.132912,General
Port Said,الزهور المركزى,حى الزهور - منطقه عمر بن عبدالعزيز,066/3631152,FALSE,31.2625901,32.2585899,General
Port Said,النصر المركزى,ش. عبد الهادى الحديدى - طريق النصر,066/3224797,FALSE,31.2677762,32.2775531,General
Port Said,بور سعيد العام,ش. صفية زغلول - طريق النصر,066/3220695,FALSE,31.2637118,32.3049254,General
Port Said,بورفؤاد المركزى,منطقة العبور  - تعاونيات بورفؤاد,066/3400849,FALSE,31.2443266,32.3187401,General
South Sinai,ابو رديس,ابو رديس,3394014,FALSE,28.9102881,33.1926155,General
South Sinai,الطور العام,طور سيناء,3770320,FALSE,28.2471992,33.6226494,General
South Sinai,دهب المركزى,دهب,3640208,FALSE,28.4843224,34.494584,General
South Sinai,راس سدر,راس سدر,3400214,FALSE,29.5899281,32.7103379,General
South Sinai,سانت كاترين,سانت كاترين,3470386,FALSE,28.5665927,33.9528618,General
South Sinai,طابا,طابا,3530231,FALSE,29.493174,34.897201,General
South Sinai,نويبع المركزى,نويبع,3500302,FALSE,29.0342447,34.6593396,General
Damietta,الروضة المركزى,الروضة - بجوار الوحدة المحلية,057-3470418,FALSE,31.325262,31.758889,General
Damietta,الزرقا المركزى,ش. النور,057-3858567,FALSE,31.2083327,31.6371274,General
Damietta,السرو المركزى,السرو - ش. المستشفى,057-3886099,FALSE,NA,NA,General
Damietta,دمياط العام,ش. سعد زغلول امام المحافظة,057-2224340,FALSE,31.4143242,31.8054767,General
Damietta,راس البر المركزى,راس البر - ش. 2 من ش. المديرية عشة 2,057-2530327,FALSE,31.5159309,31.8356207,General
Damietta,عزبة البرج المركزى,عزبة البرج - ش. الفنار,057-2700309,FALSE,31.5072333,31.8365121,General
Damietta,فارسكور المركزى,طريق 5 الحديث,057-3440315,FALSE,31.3350768,31.7189225,General
Damietta,كفر البطيخ المركزى,كفر البطيخ - امام مجلس المدينة,057-6660705,FALSE,31.404299,31.7382815,General
Damietta,كفر سعد المركزى,كفر سعد,057-3602633,FALSE,31.359735,31.690273,General
Damietta,م . دمياط التخصصى,دمياط كورنيش النيل الأعصر الشارع الحربي,057/57332442,FALSE,31.4370815,31.8013314,General
Damietta,ميت ابو غالب المركزى,ميت ابو غالب,057-3733818,FALSE,31.29128,31.677571,General
Suhag,اخميم المركزى,طريق ناصر الزراعى (اخميم - سوهاج ),093/2589263,FALSE,26.562332,31.729969,General
Suhag,البلينا المركزى,ش. الجمهورية بجوار محطة القطار,093/4800301,FALSE,26.2340422,31.996817,General
Suhag,المراغة المركزى,ش. المستشفى,093/2530763,FALSE,26.7008715,31.6009978,General
Suhag,المنشاة المركزى,ش. عبد المنعم رياض,093/2400333,FALSE,26.479816,31.797351,General
Suhag,اولاد حمزه المركزى,اولاد حمزه - العسيرات,093/4935340,FALSE,26.393609,31.822806,General
Suhag,جرجا العام,ش. عبدالمجيد مصطفى,093/4676034,FALSE,26.3462727,31.8878818,General
Suhag,جزيرة شندويل,جزيرة شندويل,093/2470023,FALSE,26.6232462,31.6402146999999,General
Suhag,جهينة المركزى,ش. الشهداء - جهينة الغربية,093/4707793,FALSE,26.669027,31.503022,General
Suhag,دار السلام المركزى,دار السلام,093/4850333,FALSE,26.279001,32.058357,General
Suhag,ساقلته المركزى,ش. التحرير,093/2510333,FALSE,26.658361,31.666374,General
Suhag,سوهاج العام,ش. محمود فهمى النقراشى - ميدان العارف,093/2332007,FALSE,26.5463253,31.7007746,General
Suhag,طما المركزى,ش. احمد عرابى,093/2790713,FALSE,26.8968915,31.4420548,General
Suhag,طهطا العام,ش. احمد نمير,096/5334394,FALSE,26.7739223,31.4973541,General
North Sinai,الشيخ زويد المركزى,حى الكوثر,068/3500323,FALSE,31.2227108,34.1236424,General
North Sinai,العريش العام,ش. الجيش من ش. 23 يوليو,068/3352938,FALSE,31.1356206,33.8097898,General
North Sinai,بئر العبد المركزى,الشارع العام,068/3540005,FALSE,31.010663,32.994722,General
North Sinai,رفح المركزى,حى الصفا - ش. قطاع الامن المركزى,068/3300459,FALSE,31.2570185,34.2277658,General
North Sinai,نخل المركزى,نخل,068/3600343,FALSE,29.9099331999999,33.7450699,General
